location,handwashing_facilities
Afghanistan,37.746
Algeria,83.741
Angola,26.664
Armenia,94.043
Azerbaijan,83.241
Bangladesh,34.808
Barbados,88.469
Belize,90.083
Benin,11.035
Bhutan,79.807
Bolivia,25.383000000000003
Bosnia and Herzegovina,97.16399999999999
Burkina Faso,11.877
Burundi,6.144
Cambodia,66.229
Cameroon,2.735
Central African Republic,16.603
Chad,5.818
Colombia,65.386
Comoros,15.574
Congo,47.96399999999999
Costa Rica,83.841
Cote d'Ivoire,19.351
Cuba,85.198
Democratic Republic of Congo,4.472
Dominican Republic,55.182
Ecuador,80.635
Egypt,89.827
El Salvador,90.65
Equatorial Guinea,24.64
Eswatini,24.097
Ethiopia,7.959999999999999
Gambia,7.876
Ghana,41.047
Guatemala,76.665
Guinea,17.45
Guinea-Bissau,6.4030000000000005
Guyana,77.159
Haiti,22.863
Honduras,84.169
India,59.55
Indonesia,64.204
Iraq,94.576
Jamaica,66.425
Kazakhstan,98.99899999999998
Kenya,24.651
Kyrgyzstan,89.22
Laos,49.83899999999999
Lesotho,2.117
Liberia,1.188
Madagascar,50.53999999999999
Malawi,8.704
Maldives,95.80299999999998
Mali,52.232
Marshall Islands,82.502
Mauritania,15.950000000000001
Mexico,87.847
Moldova,86.979
Mongolia,71.18
Mozambique,12.226999999999999
Myanmar,79.287
Namibia,44.6
Nepal,47.782
Niger,8.978
Nigeria,41.949
Oman,97.39999999999999
Pakistan,59.607
Paraguay,79.602
Philippines,78.463
Rwanda,4.617
Saint Lucia,87.202
Sao Tome and Principe,41.34
Senegal,20.859
Serbia,97.719
Sierra Leone,19.275
Solomon Islands,35.89
Somalia,9.831
South Africa,43.993
Sudan,23.437
Suriname,67.779
Syria,70.598
Tajikistan,72.704
Tanzania,47.953
Thailand,90.67
Timor,28.178
Togo,10.475
Trinidad and Tobago,89.443
Tunisia,78.687
Turkmenistan,100.0
Uganda,21.222
Vanuatu,25.209000000000003
Vietnam,85.847
World,60.13
Yemen,49.542
Zambia,13.938
Zimbabwe,36.791
